time,microjax,vbmicrolensing,relative_difference
-3.333333333333333037e+00,2.753322750724026324e+00,2.753384047406734148e+00,2.226230763759790948e-05
-3.318318318318318028e+00,2.755579052027572917e+00,2.755639003281954214e+00,2.175584476409814517e-05
-3.303303303303303018e+00,2.758007750673792557e+00,2.758066382800672844e+00,2.125841758048952011e-05
-3.288288288288288008e+00,2.760609957836205552e+00,2.760667600561051316e+00,2.087999469188127881e-05
-3.273273273273272999e+00,2.763386706499150414e+00,2.763443089811418396e+00,2.040328330837097584e-05
-3.258258258258257989e+00,2.766338960580187134e+00,2.766394113645487707e+00,1.993680691717976226e-05
-3.243243243243242979e+00,2.769467623706741044e+00,2.769521576295157494e+00,1.948083339672835381e-05
-3.228228228228227970e+00,2.772773547593804011e+00,2.772826313912899465e+00,1.902979599937237675e-05
-3.213213213213212960e+00,2.776257540038689076e+00,2.776309166906790082e+00,1.859550395769740875e-05
-3.198198198198197950e+00,2.779920372485328972e+00,2.779970890743058476e+00,1.817222543506589693e-05
-3.183183183183182940e+00,2.783762787330100519e+00,2.783812227945858808e+00,1.776003972608850362e-05
-3.168168168168167931e+00,2.787785504731598696e+00,2.787833898748230510e+00,1.735900286367264163e-05
-3.153153153153152921e+00,2.791989229229365321e+00,2.792036607641051660e+00,1.696912266718729681e-05
-3.138138138138137911e+00,2.796374655861380010e+00,2.796525221134488870e+00,5.384012701583261137e-05
-3.123123123123122902e+00,2.800942476127810554e+00,2.801089771896752012e+00,5.258516539500866180e-05
-3.108108108108107892e+00,2.805693383541124852e+00,2.805837511856297262e+00,5.136730639724618896e-05
-3.093093093093092882e+00,2.810628078928946394e+00,2.810769140927793064e+00,5.018626282488196534e-05
-3.078078078078077873e+00,2.815747275484959733e+00,2.815885371239527313e+00,4.904168187314788418e-05
-3.063063063063062863e+00,2.821051703526527898e+00,2.821186931926492836e+00,4.793315835778184702e-05
-3.048048048048047853e+00,2.826542115042425696e+00,2.826674573683856551e+00,4.686023734887474133e-05
-3.033033033033032844e+00,2.832219287992725043e+00,2.832348571123307401e+00,4.564520479592125017e-05
-3.018018018018017834e+00,2.838084030413710934e+00,2.838210732069837317e+00,4.464138433934462645e-05
-3.003003003003002824e+00,2.844137184336579249e+00,2.844261397754674014e+00,4.367159016847822414e-05
-2.987987987987987815e+00,2.850379629491698097e+00,2.850501446364737568e+00,4.273524337088995207e-05
-2.972972972972972805e+00,2.856812286900708209e+00,2.856931797329798961e+00,4.183174033151628558e-05
-2.957957957957957795e+00,2.863436122272439377e+00,2.863553414742318282e+00,4.096046166802842613e-05
-2.942942942942942786e+00,2.870252149261609098e+00,2.870367310641006586e+00,4.012078139636090075e-05
-2.927927927927927776e+00,2.877261432640242145e+00,2.877374548166966139e+00,3.931206203101193818e-05
-2.912912912912912766e+00,2.884465091330826514e+00,2.884576244607344631e+00,3.853365870495378045e-05
-2.897897897897897757e+00,2.891864301317838670e+00,2.891973574338329911e+00,3.778493049205742437e-05
-2.882882882882882747e+00,2.899460298529857649e+00,2.899567771677898698e+00,3.706523058050709238e-05
-2.867867867867867737e+00,2.907254381584670977e+00,2.907360169914771308e+00,3.638638624654222365e-05
-2.852852852852852727e+00,2.915247914508726446e+00,2.915352058792844758e+00,3.572271273522811732e-05
-2.837837837837837718e+00,2.923442329383419303e+00,2.923544905293324003e+00,3.508614138916712756e-05
-2.822822822822822708e+00,2.931839128939968564e+00,2.931940210657876911e+00,3.447605020760834122e-05
-2.807807807807807698e+00,2.940439889158465103e+00,2.940539549396253616e+00,3.389182023039771286e-05
-2.792792792792792689e+00,2.949246261777031641e+00,2.949344571835775142e+00,3.333284950232477933e-05
