time,microjax,vbmicrolensing,relative_difference
-3.483483483483483578e+00,2.740169169705309660e+00,2.740172277654806976e+00,1.134216823759802124e-06
-3.468468468468468568e+00,2.740782034876465545e+00,2.740785142549910347e+00,1.133862482161177155e-06
-3.453453453453453559e+00,2.741549608202817012e+00,2.741552715902554560e+00,1.133554616521309761e-06
-3.438438438438438549e+00,2.742474380510019571e+00,2.742477488561402055e+00,1.133300599711989604e-06
-3.423423423423423539e+00,2.743558652092815908e+00,2.743561760848486131e+00,1.133109418051183097e-06
-3.408408408408408530e+00,2.744804545158281428e+00,2.744807654980950584e+00,1.132983822568704451e-06
-3.393393393393393076e+00,2.746214016054013829e+00,2.746217127318980822e+00,1.132927522752098426e-06
-3.378378378378378066e+00,2.747788867281641068e+00,2.747791980386737443e+00,1.132947879095609823e-06
-3.363363363363363057e+00,2.749530759279851022e+00,2.749533874625292196e+00,1.133044938971048476e-06
-3.348348348348348047e+00,2.751441221846141261e+00,2.751444339841874864e+00,1.133221446079769629e-06
-3.333333333333333037e+00,2.753521665244804684e+00,2.753524786322791851e+00,1.133484616761034035e-06
-3.318318318318318028e+00,2.755773390992197758e+00,2.755776515591477072e+00,1.133836238764527497e-06
-3.303303303303303018e+00,2.758197602231381218e+00,2.758200730787993660e+00,1.134274448382120432e-06
-3.288288288288288008e+00,2.760795413686189193e+00,2.760798883202910226e+00,1.256707521196870192e-06
-3.273273273273272999e+00,2.763567861338195097e+00,2.763571340252900299e+00,1.258847439372891803e-06
-3.258258258258257989e+00,2.766515911568811603e+00,2.766519400511892712e+00,1.261130892652904560e-06
-3.243243243243242979e+00,2.769640469985137354e+00,2.769643969600797728e+00,1.263561561986015878e-06
-3.228228228228227970e+00,2.772942389842668831e+00,2.772945900782776363e+00,1.266140859993200261e-06
-3.213213213213212960e+00,2.776422480084705047e+00,2.776426002988549246e+00,1.268862861969911272e-06
-3.198198198198197950e+00,2.780081512914251984e+00,2.780085048459443264e+00,1.271739939481043108e-06
-3.183183183183182940e+00,2.783920231179330074e+00,2.783923780023970895e+00,1.274763578761145577e-06
-3.168168168168167931e+00,2.787939355167301958e+00,2.787942918009505000e+00,1.277946610752627701e-06
-3.153153153153152921e+00,2.792139589308396008e+00,2.792143166812905974e+00,1.281275456247372402e-06
-3.138138138138137911e+00,2.796521628262639947e+00,2.796525221134488870e+00,1.284762898532181538e-06
-3.123123123123122902e+00,2.801086162959514514e+00,2.801089771896752012e+00,1.288404703664433644e-06
-3.108108108108107892e+00,2.805833886147891754e+00,2.805837511856297262e+00,1.292201843544856808e-06
-3.093093093093092882e+00,2.810765497721549711e+00,2.810769140927793064e+00,1.296159898123393835e-06
-3.078078078078077873e+00,2.815881709805712507e+00,2.815885371239527313e+00,1.300278005703697406e-06
-3.063063063063062863e+00,2.821183251522166646e+00,2.821186931926492836e+00,1.304558831086149416e-06
-3.048048048048047853e+00,2.826670873563044584e+00,2.826674573683856551e+00,1.309001342572214887e-06
-3.033033033033032844e+00,2.832345352500047930e+00,2.832348571123307401e+00,1.136379643482434594e-06
-3.018018018018017834e+00,2.838207494906362260e+00,2.838210732069837317e+00,1.140564877187716583e-06
-3.003003003003002824e+00,2.844258141296999831e+00,2.844261397754674014e+00,1.144922079508616797e-06
-2.987987987987987815e+00,2.850498169829636108e+00,2.850501446364737568e+00,1.149459196254128909e-06
-2.972972972972972805e+00,2.856928499928927057e+00,2.856931797329798961e+00,1.154175565194214366e-06
-2.957957957957957795e+00,2.863550095681302032e+00,2.863553414742318282e+00,1.159070754246051898e-06
-2.942942942942942786e+00,2.870363969094907652e+00,2.870367310641006586e+00,1.164152785096921900e-06
-2.927927927927927776e+00,2.877371183294743950e+00,2.877374548166966139e+00,1.169424475632711092e-06
-2.912912912912912766e+00,2.884572855561999827e+00,2.884576244607344631e+00,1.174884994334792055e-06
-2.897897897897897757e+00,2.891970160235939780e+00,2.891973574338329911e+00,1.180544117147550824e-06
-2.882882882882882747e+00,2.899564331625337221e+00,2.899567771677898698e+00,1.186401847571139929e-06
-2.867867867867867737e+00,2.907356666741661488e+00,2.907360169914771308e+00,1.204932621032213889e-06
-2.852852852852852727e+00,2.915348528032769337e+00,2.915352058792844758e+00,1.211092178308932755e-06
-2.837837837837837718e+00,2.923541346031353960e+00,2.923544905293324003e+00,1.217447340589412084e-06
-2.822822822822822708e+00,2.931936621945067767e+00,2.931940210657876911e+00,1.224006136311562725e-06
